currency_pair_code,IG
eurusd,CS.D.EURUSD.CFD.IP
eurchf,CS.D.EURCHF.CFD.IP
eurgbp,CS.D.EURGBP.CFD.IP
eurjpy,CS.D.EURJPY.CFD.IP
euraud,CS.D.EURAUD.CFD.IP
usdcad,CS.D.USDCAD.CFD.IP
usdchf,CS.D.USDCHF.CFD.IP
usdjpy,CS.D.USDJPY.CFD.IP
usdmxn,CS.D.USDMXN.CFD.IP
gbpchf,CS.D.GBPCHF.CFD.IP
gbpjpy,CS.D.GBPJPY.CFD.IP
gbpusd,CS.D.GBPUSD.CFD.IP
audjpy,CS.D.AUDJPY.CFD.IP
audusd,CS.D.AUDUSD.CFD.IP
chfjpy,CS.D.CHFJPY.CFD.IP
nzdjpy,CS.D.NZDJPY.CFD.IP
nzdusd,CS.D.NZDUSD.CFD.IP
xauusd,CS.D.XAUUSD.CFD.IP
eurcad,CS.D.EURCAD.CFD.IP
audcad,CS.D.AUDCAD.CFD.IP
cadjpy,CS.D.CADJPY.CFD.IP
eurnzd,CS.D.EURNZD.CFD.IP
grxeur,CS.D.GRXEUR.CFD.IP
nzdcad,CS.D.NZDCAD.CFD.IP
sgdjpy,CS.D.SGDJPY.CFD.IP
usdhkd,CS.D.USDHKD.CFD.IP
usdnok,CS.D.USDNOK.CFD.IP
usdtry,CS.D.USDTRY.CFD.IP
xauaud,CS.D.XAUAUD.CFD.IP
audchf,CS.D.AUDCHF.CFD.IP
auxaud,CS.D.AUXAUD.CFD.IP
eurhuf,CS.D.EURHUF.CFD.IP
eurpln,CS.D.EURPLN.CFD.IP
frxeur,CS.D.FRXEUR.CFD.IP
hkxhkd,CS.D.HKXHKD.CFD.IP
nzdchf,CS.D.NZDCHF.CFD.IP
spxusd,CS.D.SPXUSD.CFD.IP
usdhuf,CS.D.USDHUF.CFD.IP
usdpln,CS.D.USDPLN.CFD.IP
usdzar,CS.D.USDZAR.CFD.IP
xauchf,CS.D.XAUCHF.CFD.IP
zarjpy,CS.D.ZARJPY.CFD.IP
bcousd,CS.D.BCOUSD.CFD.IP
etxeur,CS.D.ETXEUR.CFD.IP
eurczk,CS.D.EURCZK.CFD.IP
eursek,CS.D.EURSEK.CFD.IP
gbpaud,CS.D.GBPAUD.CFD.IP
gbpnzd,CS.D.GBPNZD.CFD.IP
jpxjpy,CS.D.JPXJPY.CFD.IP
udxusd,CS.D.UDXUSD.CFD.IP
usdczk,CS.D.USDCZK.CFD.IP
usdsek,CS.D.USDSEK.CFD.IP
wtiusd,CS.D.WTIUSD.CFD.IP
xaueur,CS.D.XAUEUR.CFD.IP
audnzd,CS.D.AUDNZD.CFD.IP
cadchf,CS.D.CADCHF.CFD.IP
eurdkk,CS.D.EURDKK.CFD.IP
eurnok,CS.D.EURNOK.CFD.IP
eurtry,CS.D.EURTRY.CFD.IP
gbpcad,CS.D.GBPCAD.CFD.IP
nsxusd,CS.D.NSXUSD.CFD.IP
ukxgbp,CS.D.UKXGBP.CFD.IP
usddkk,CS.D.USDDKK.CFD.IP
usdsgd,CS.D.USDSGD.CFD.IP
xagusd,CS.D.XAGUSD.CFD.IP
xaugbp,CS.D.XAUGBP.CFD.IP